2019 Federal Election House of Representatives First Preferences By Candidate By Polling Place for NT [Please Note: These results are not final. Event:24310 Phase:PostElection Generated:2019-07-01T15:26:29 Cycle:137da0a3-a392-4005-ac62-0e82b00a6d5e Created:2019-07-01T15:24:49 Environment:PROD Site:CANBERRA Server:VTR01 Version:10.7.10.55954]
StateAb,DivisionID,DivisionNm,PollingPlaceID,PollingPlace,CandidateID,Surname,GivenNm,BallotPosition,Elected,HistoricElected,PartyAb,PartyNm,OrdinaryVotes,Swing
NT,306,Lingiari,34158,Remote Mobile Team 12,33034,HANNA,George,2,N,N,GRN,The Greens,9,-1.66
NT,306,Lingiari,34158,Remote Mobile Team 12,32734,HODGSON,Daniel Isaac,3,N,N,UAPP,United Australia Party,3,0.83
NT,306,Lingiari,34158,Remote Mobile Team 12,33014,McCARTHY,Regina,4,N,N,RUA,Rise Up Australia Party,8,-1.75
NT,306,Lingiari,34158,Remote Mobile Team 12,33028,MacFARLANE,Hamish,5,N,N,IND,Independent,1,0.28
NT,306,Lingiari,34158,Remote Mobile Team 12,33045,PRICE,Jacinta,6,N,N,CLP,Country Liberals (NT),24,-15.3
NT,306,Lingiari,34158,Remote Mobile Team 12,999,Informal,Informal,999,N,N,,Informal,29,-3.32
NT,306,Lingiari,34159,Remote Mobile Team 13,32740,SNOWDON,Warren,1,Y,Y,ALP,Australian Labor Party (Northern Territory) Branch,412,33.28
NT,306,Lingiari,34159,Remote Mobile Team 13,33034,HANNA,George,2,N,N,GRN,The Greens,29,1.67
NT,306,Lingiari,34159,Remote Mobile Team 13,32734,HODGSON,Daniel Isaac,3,N,N,UAPP,United Australia Party,4,0.8
NT,306,Lingiari,34159,Remote Mobile Team 13,33014,McCARTHY,Regina,4,N,N,RUA,Rise Up Australia Party,12,-1.55
NT,306,Lingiari,34159,Remote Mobile Team 13,33028,MacFARLANE,Hamish,5,N,N,IND,Independent,5,1
NT,306,Lingiari,34159,Remote Mobile Team 13,33045,PRICE,Jacinta,6,N,N,CLP,Country Liberals (NT),36,-14.7
NT,306,Lingiari,34159,Remote Mobile Team 13,999,Informal,Informal,999,N,N,,Informal,33,-4.53
NT,306,Lingiari,34160,Remote Mobile Team 14,32740,SNOWDON,Warren,1,Y,Y,ALP,Australian Labor Party (Northern Territory) Branch,564,39.65
NT,306,Lingiari,34160,Remote Mobile Team 14,33034,HANNA,George,2,N,N,GRN,The Greens,13,-2.1
NT,306,Lingiari,34160,Remote Mobile Team 14,32734,HODGSON,Daniel Isaac,3,N,N,UAPP,United Australia Party,5,0.79
NT,306,Lingiari,34160,Remote Mobile Team 14,33014,McCARTHY,Regina,4,N,N,RUA,Rise Up Australia Party,11,-2.22
NT,306,Lingiari,34160,Remote Mobile Team 14,33028,MacFARLANE,Hamish,5,N,N,IND,Independent,2,0.32
NT,306,Lingiari,34160,Remote Mobile Team 14,33045,PRICE,Jacinta,6,N,N,CLP,Country Liberals (NT),38,-15.93
NT,306,Lingiari,34160,Remote Mobile Team 14,999,Informal,Informal,999,N,N,,Informal,11,-9.03
NT,306,Lingiari,34161,Remote Mobile Team 15,32740,SNOWDON,Warren,1,Y,Y,ALP,Australian Labor Party (Northern Territory) Branch,513,37.79
NT,306,Lingiari,34161,Remote Mobile Team 15,33034,HANNA,George,2,N,N,GRN,The Greens,14,-1.77
NT,306,Lingiari,34161,Remote Mobile Team 15,32734,HODGSON,Daniel Isaac,3,N,N,UAPP,United Australia Party,6,1.02
NT,306,Lingiari,34161,Remote Mobile Team 15,33014,McCARTHY,Regina,4,N,N,RUA,Rise Up Australia Party,8,-2.6
NT,306,Lingiari,34161,Remote Mobile Team 15,33028,MacFARLANE,Hamish,5,N,N,IND,Independent,1,0.17
NT,306,Lingiari,34161,Remote Mobile Team 15,33045,PRICE,Jacinta,6,N,N,CLP,Country Liberals (NT),46,-14.11
NT,306,Lingiari,34161,Remote Mobile Team 15,999,Informal,Informal,999,N,N,,Informal,30,-5.89
NT,306,Lingiari,34162,Remote Mobile Team 16,32740,SNOWDON,Warren,1,Y,Y,ALP,Australian Labor Party (Northern Territory) Branch,532,15.75
NT,306,Lingiari,34162,Remote Mobile Team 16,33034,HANNA,George,2,N,N,GRN,The Greens,71,4.55
NT,306,Lingiari,34162,Remote Mobile Team 16,32734,HODGSON,Daniel Isaac,3,N,N,UAPP,United Australia Party,23,2.82
NT,306,Lingiari,34162,Remote Mobile Team 16,33014,McCARTHY,Regina,4,N,N,RUA,Rise Up Australia Party,24,-1.02
NT,306,Lingiari,34162,Remote Mobile Team 16,33028,MacFARLANE,Hamish,5,N,N,IND,Independent,15,1.84
NT,306,Lingiari,34162,Remote Mobile Team 16,33045,PRICE,Jacinta,6,N,N,CLP,Country Liberals (NT),151,-3.43
NT,306,Lingiari,34162,Remote Mobile Team 16,999,Informal,Informal,999,N,N,,Informal,46,-5.4
NT,306,Lingiari,34163,Remote Mobile Team 17,32740,SNOWDON,Warren,1,Y,Y,ALP,Australian Labor Party (Northern Territory) Branch,179,6.31
NT,306,Lingiari,34163,Remote Mobile Team 17,33034,HANNA,George,2,N,N,GRN,The Greens,19,1.77
NT,306,Lingiari,34163,Remote Mobile Team 17,32734,HODGSON,Daniel Isaac,3,N,N,UAPP,United Australia Party,17,5.3
NT,306,Lingiari,34163,Remote Mobile Team 17,33014,McCARTHY,Regina,4,N,N,RUA,Rise Up Australia Party,14,0.4
NT,306,Lingiari,34163,Remote Mobile Team 17,33028,MacFARLANE,Hamish,5,N,N,IND,Independent,7,2.18
NT,306,Lingiari,34163,Remote Mobile Team 17,33045,PRICE,Jacinta,6,N,N,CLP,Country Liberals (NT),85,4.55
NT,306,Lingiari,34163,Remote Mobile Team 17,999,Informal,Informal,999,N,N,,Informal,19,-5.15
NT,306,Lingiari,82791,Remote Mobile Team 18,32740,SNOWDON,Warren,1,Y,Y,ALP,Australian Labor Party (Northern Territory) Branch,665,3.75
NT,306,Lingiari,82791,Remote Mobile Team 18,33034,HANNA,George,2,N,N,GRN,The Greens,178,10.09
NT,306,Lingiari,82791,Remote Mobile Team 18,32734,HODGSON,Daniel Isaac,3,N,N,UAPP,United Australia Party,45,3.6
NT,306,Lingiari,82791,Remote Mobile Team 18,33014,McCARTHY,Regina,4,N,N,RUA,Rise Up Australia Party,34,-1.24
